#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         444    -3.77379    -3.77632 0.000472099
         445    -3.77353    -3.77632  0.00047108
         446    -3.77297    -3.77631 0.000470083
         447    -3.77259     -3.7763 0.000469105
         448    -3.77283    -3.77629 0.000468122
         449    -3.77233    -3.77628 0.000467163
         450      -3.772    -3.77627 0.000466222
         451    -3.77184    -3.77627 0.000465292
         452    -3.77124    -3.77625 0.000464396
         453    -3.77125    -3.77624 0.000463502
         454    -3.77098    -3.77623 0.000462625
         455    -3.77117    -3.77622 0.000461742
         456    -3.77092    -3.77621 0.000460876
         457    -3.77083     -3.7762 0.000460018
         458    -3.77074    -3.77618 0.000459168
         459    -3.77126    -3.77617 0.000458293
         460    -3.77118    -3.77616 0.000457425
         461    -3.77095    -3.77615 0.000456573
         462    -3.77102    -3.77614  0.00045572
         463    -3.77125    -3.77613 0.000454858
         464    -3.77073    -3.77612 0.000454026
         465    -3.77052    -3.77611 0.000453209
         466    -3.77061    -3.77609  0.00045239
         467    -3.77102    -3.77608 0.000451552
         468    -3.77128    -3.77607 0.000450704
         469    -3.77155    -3.77606 0.000449847
         470    -3.77152    -3.77605 0.000448993
         471    -3.77151    -3.77604 0.000448144
         472     -3.7715    -3.77604 0.000447297
         473    -3.77151    -3.77603 0.000446454
         474    -3.77152    -3.77602 0.000445614
         475    -3.77153    -3.77601 0.000444776
         476    -3.77124      -3.776 0.000443954
         477    -3.77125    -3.77599 0.000443135
         478    -3.77141    -3.77598 0.000442311
         479    -3.77125    -3.77597 0.000441498
         480    -3.77169    -3.77596 0.000440668
         481    -3.77195    -3.77595 0.000439831
         482     -3.7719    -3.77594 0.000438998
         483    -3.77197    -3.77593 0.000438167
         484    -3.77216    -3.77593  0.00043733
         485    -3.77203    -3.77592 0.000436503
         486    -3.77172    -3.77591  0.00043569
         487    -3.77152     -3.7759 0.000434888
         488    -3.77161    -3.77589 0.000434086
         489    -3.77136    -3.77588 0.000433297
         490     -3.7717    -3.77587 0.000432497
         491    -3.77216    -3.77587 0.000431682
         492    -3.77154    -3.77586 0.000430895
         493    -3.77166    -3.77585 0.000430105
         494     -3.7713    -3.77584 0.000429333
         495    -3.77169    -3.77583 0.000428547
         496    -3.77176    -3.77582 0.000427762
         497    -3.77122    -3.77581 0.000427001
         498    -3.77113     -3.7758 0.000426247
         499    -3.77133    -3.77579 0.000425488
         500    -3.77123    -3.77579 0.000424735
         501    -3.77081    -3.77578 0.000424003
         502    -3.77071    -3.77577 0.000423278
         503    -3.77046    -3.77576 0.000422568
         504    -3.77021    -3.77574 0.000421873
         505    -3.77012    -3.77573 0.000421184
         506    -3.77035    -3.77572 0.000420486
         507    -3.77028    -3.77571 0.000419794
         508    -3.76978     -3.7757  0.00041913
         509     -3.7702    -3.77569 0.000418446
         510    -3.76973    -3.77568 0.000417789
         511    -3.76958    -3.77567 0.000417142
         512    -3.76946    -3.77565 0.000416503
         513    -3.76952    -3.77564 0.000415862
         514    -3.76915    -3.77563 0.000415245
         515    -3.76925    -3.77562 0.000414623
         516    -3.76939     -3.7756 0.000413995
         517     -3.7688    -3.77559 0.000413404
         518    -3.76883    -3.77558 0.000412812
         519    -3.76873    -3.77557 0.000412227
         520     -3.7688    -3.77555 0.000411639
         521    -3.76935    -3.77554 0.000411021
         522     -3.7696    -3.77553 0.000410391
         523    -3.77001    -3.77552 0.000409742
         524    -3.76998    -3.77551 0.000409097
         525     -3.7701     -3.7755 0.000408447
         526    -3.76991    -3.77549 0.000407809
         527    -3.76987    -3.77548 0.000407174
         528    -3.76968    -3.77547 0.000406551
         529    -3.76979    -3.77545 0.000405924
         530    -3.77019    -3.77544 0.000405279
         531    -3.77014    -3.77543 0.000404639
         532    -3.76993    -3.77542 0.000404011
         533    -3.77003    -3.77541  0.00040338
         534    -3.77027     -3.7754 0.000402739
         535    -3.77052     -3.7754  0.00040209
         536    -3.77093    -3.77539 0.000401426
         537    -3.77074    -3.77538 0.000400772
         538    -3.77086    -3.77537 0.000400114
         539      -3.771    -3.77536 0.000399454
         540    -3.77101    -3.77535 0.000398796
         541    -3.77087    -3.77535 0.000398145
         542    -3.77152    -3.77534 0.000397473
