x	y	z
0.166174	-0.375442	-0.738466
-1.0186	-0.848869	-1.10115
-1.48497	-0.249868	-1.44049
-0.729491	-1.22739	-0.978607
-0.0855134	-1.5486	-1.30131
0.339143	-0.953709	-0.818703
1.52396	-0.387382	-1.49385
2.32428	-0.160361	-1.75915
3.17494	-0.995387	-2.42579
3.42634	-0.65307	-2.56808
2.36212	-1.59128	-2.77147
3.24419	-0.407639	-2.70061
3.4881	-0.256051	-2.48883
3.01692	-0.10162	-2.10009
3.60001	0.987032	-1.45154
4.00556	0.601532	-1.34475
2.85051	1.14454	-1.7479
1.93771	1.53518	-0.898243
1.6942	1.61003	0.272461
2.02082	0.685568	-0.297837
1.8358	1.01672	-0.154357
1.06072	-0.0123207	0.909869
0.399294	0.459497	-0.105671
-0.263532	1.26938	-0.148032
-1.36289	2.16487	-1.27199
-1.55299	1.23999	-1.54197
-2.32465	1.93578	-2.14817
-2.33371	1.68067	-1.6967
-1.40227	0.913561	-2.66062
-0.317121	0.839736	-1.97451
-0.632601	-0.306093	-1.78081
-0.112793	-0.206607	-1.98731
0.246794	0.35055	-1.33642
0.657269	1.39039	-0.23197
-0.335058	2.26996	0.103039
0.382981	1.19858	-0.989994
0.248071	0.675805	-1.96222
1.3327	1.648	-1.04216
1.63056	2.16227	0.0421501
0.81101	2.09714	-0.247719
2.00433	1.72407	0.847914
1.20767	2.45394	1.75881
1.05404	3.46321	1.01672
0.518932	3.77496	1.64829
0.590775	3.45958	2.42479
0.914029	4.2992	1.97185
0.65763	4.25465	2.14595
0.777349	3.26738	2.50642
1.2334	3.99706	1.78225
1.3988	3.03403	1.58878
0.852657	2.89809	2.13313
0.352714	2.48098	1.0198
0.85421	3.21056	0.234596
1.85447	2.50612	0.947079
0.918707	2.76759	1.89799
0.497254	2.21852	0.940862
0.276808	2.22038	0.503998
1.20875	1.26201	1.10167
0.883524	0.132442	0.252731
0.523442	-0.377443	0.479205
0.274575	-0.272295	0.312134
1.28546	-0.212785	0.795049
0.453106	-1.02542	-0.0388363
-0.351297	-0.248719	-1.07429
-0.697191	0.0975017	-1.48623
-1.39652	-0.66432	-1.56518
-1.46976	-0.736953	-0.541119
-1.09513	-0.221865	-0.208716
-0.0360134	-1.10336	0.806445
0.116833	-0.499867	0.929033
-0.449594	-0.694676	-0.204629
-0.284811	0.160343	-1.04534
-0.142361	-0.351119	-0.902666
0.852362	-0.0981813	0.143263
0.42154	0.63533	0.724502
-0.363182	0.171631	1.2608
-1.27605	-0.171726	0.499541
-1.10692	0.470178	0.304234
-1.18322	0.0136475	1.17374
-0.19835	0.69205	1.10373
-0.886791	0.739277	0.724178
-0.257359	0.88407	-0.352561
-0.398916	-0.0735028	-0.650668
-0.375217	0.49448	0.0660116
-1.24871	-0.480853	0.16225
-0.684491	-0.940943	0.241724
-1.5875	-0.637579	0.807458
-1.60235	-1.19041	0.33376
-1.34331	-0.233785	1.23156
-0.983264	0.391299	1.58892
-0.683592	-0.0167124	0.689148
-0.589213	0.780526	1.46333
-0.52497	0.878152	1.44487
0.507624	1.60945	1.03038
-0.509496	1.04988	0.526181
0.0405389	1.78369	-0.1779
1.05875	1.40101	-0.869889
1.25072	1.24825	-0.511975
0.356755	1.22516	0.520003
0.64881	1.49776	1.02546
0.664711	0.774804	0.866858
1.24516	0.118711	0.758781
2.09773	0.141879	1.0464
2.24893	-1.05153	1.4329
1.41386	-0.381622	2.24819
2.29093	0.67874	1.30331
3.13318	1.3309	0.478791
2.85601	2.06613	-0.0447203
3.22643	2.25881	1.12018
4.33795	2.17292	0.329433
4.09634	1.69646	0.776737
3.68052	2.52102	0.105471
2.67618	1.37927	-0.23371
1.9191	1.8854	-0.235903
1.16906	1.77766	-0.850348
0.849759	0.581966	-0.629502
0.105037	-0.567586	-0.7241
-0.514931	-0.40139	-0.36871
0.259207	0.101218	0.695035
-0.234605	0.272141	-0.36629
0.856998	-0.212805	0.276642
0.0400053	-1.10978	-0.285121
-0.722447	-0.738734	0.534164
-0.126739	0.161589	0.358624
0.208351	0.451262	0.521189
0.62653	-0.123256	-0.465358
1.07544	-0.098778	-0.052439
0.857464	0.618859	-0.973825
1.54637	-0.110296	0.113945
0.886251	-1.09559	-0.464483
0.354928	-0.339637	-1.38686
0.947167	0.775515	-0.499195
0.0323328	0.00677377	-1.21948
-0.623081	-0.245341	-1.22457
-0.490442	0.827599	-1.36098
0.462806	-0.138384	-1.16529
0.565775	0.0456034	-0.735445
-0.133163	-0.546761	-0.877808
-0.417561	-1.34129	-0.151695
-1.42578	-1.07558	-0.734105
-1.00289	-0.556735	-1.12264
-0.851331	-1.10862	-0.00674565
-1.45102	-0.397397	-0.516772
-1.49931	-0.483738	-0.177578
-0.910976	0.308921	-0.506868
0.225477	-0.799536	-1.24646
1.23635	-0.0898122	-1.4825
0.386831	1.05398	-1.68369
-0.403098	1.42127	-1.43765
-1.51918	0.37328	-1.49267
-1.22352	0.215652	-1.30306
-1.22007	0.22554	-0.30148
-0.499087	1.38459	-0.0498127
0.00842581	0.444214	-0.879874
0.924228	-0.604862	-1.36035
1.99592	0.373854	-0.905883
2.52734	0.0454024	-0.758468
2.43391	1.01384	-1.19908
2.77857	1.62209	-0.204378
1.82357	0.522003	0.973116
0.635251	0.0937002	0.740647
1.00151	-0.233133	0.281591
0.0401871	-0.50814	0.646316
-0.411787	0.0663186	-0.465065
0.321314	0.299459	-0.620198
-0.367812	-0.677764	-0.550871
-0.245321	0.501461	0.387372
0.767146	-0.369418	0.403896
0.542611	-0.745425	0.418807
-0.0289064	-1.90881	0.335243
-0.124295	-2.11102	1.41844
-1.23521	-1.48366	1.00152
-0.707634	-0.719596	-0.0880846
0.302819	-1.84761	0.634881
0.19846	-2.74427	1.69293
0.712204	-3.26511	0.705533
0.357767	-2.19465	1.00401
-0.614874	-1.31413	1.21554
-0.735952	-0.603835	1.95708
-0.832743	-1.49542	1.36971
-0.766072	-1.54064	0.42676
-1.6608	-0.94676	1.08459
-2.27735	-1.71293	-0.0377333
-2.08155	-2.00497	-0.803284
-1.09136	-1.06951	0.383915
-0.795622	-1.59601	0.433473
-0.438635	-0.890935	-0.695201
-1.34086	-1.06752	-0.278406
-0.377451	-1.4048	-0.606198
-0.236187	-1.1177	-1.43069
0.761166	-1.80935	-0.483305
0.685222	-1.14536	-1.5749
-0.284154	0.0494137	-1.75888
-0.316343	0.324345	-1.34058
0.46322	-0.445315	-0.947737
-0.670251	0.624798	-0.948874
0.160928	-0.537207	-0.854556
-0.460318	-0.653532	-0.102837
0.2918	0.369091	-0.329076
-0.165807	0.147207	0.481071
0.868702	-0.921716	-0.285961
0.0733334	-0.710359	0.636988
0.477893	-0.205048	1.19376
1.00452	0.187275	1.74953
2.18603	0.125696	1.63049
1.44559	-0.543486	2.80066
1.54781	-0.00754535	1.67308
0.874709	0.206026	1.93619
0.140969	0.993386	2.03114
-0.717848	0.395557	0.930603
-0.172667	0.270573	0.606103
0.469899	0.456655	-0.0925082
0.21454	0.442029	0.111137
0.0811069	-0.453735	-0.646435
1.21294	-1.53034	0.194895
1.99922	-1.19147	1.04518
2.3124	-0.301323	0.715499
2.75022	-0.703446	-0.4787
2.5601	-0.0881081	0.274248
2.43572	-1.04753	-0.167994
2.45227	-0.102547	0.0713093
3.19676	0.0505594	-0.282261
2.41893	0.48535	0.147695
1.73538	1.17853	-0.951437
2.40344	0.380925	-0.11953
1.3793	-0.0366053	1.01298
0.563689	0.309566	-0.0324504
1.65076	0.974924	-0.52708
1.80156	0.564925	-1.46531
2.03843	0.70176	-0.428984
1.74283	1.46993	-0.278371
1.95075	0.761348	-0.490575
1.4945	1.07669	-0.714724
0.486036	1.03952	-0.812759
-0.130404	0.027133	-0.777682
-0.366	-0.0634606	-0.480962
-1.08422	-0.648301	-0.679681
-1.26854	-1.55379	-0.1266
-1.4939	-0.40919	0.804273
-1.04172	0.150722	0.772437
-0.692772	-0.771451	1.92239
-0.655439	-1.55582	1.46771
-1.32882	-1.1602	0.571197
-0.884229	-0.937245	-0.316598
-1.70458	-0.798921	-0.284871
-1.04453	-0.874373	-0.463778
-1.00337	0.0118245	-1.18591
-0.154465	0.136492	-1.42255
-0.363654	0.78815	-2.52116
0.275956	0.255766	-1.68745
-0.889394	1.08436	-1.26606
-0.344956	1.27541	-1.9268
-1.19449	0.196363	-0.853282
-0.360627	-0.502787	-0.861865
0.528533	-0.768933	-0.13035
-0.0917397	0.254015	0.182127
-0.589581	-0.354778	0.570542
0.470974	0.502896	-0.561412
-0.037786	1.60355	0.254184
-0.183576	2.02626	0.725865
0.3925	1.97253	0.554917
0.328339	1.32745	0.170199
-0.299824	1.06206	0.958195
-0.499188	0.117598	0.106013
-0.87015	-0.100341	1.26927
0.0332515	-0.96524	1.10044
-0.735659	-0.900935	0.743719
-0.520787	-1.24001	0.193407
0.363683	-0.7368	-0.996381
0.950113	-1.52383	-1.75625
0.591671	-1.23269	-2.13648
-0.332128	-1.70015	-1.12783
0.400538	-1.86827	-1.76921
1.14313	-1.76083	-2.57739
0.948235	-2.61477	-1.73596
-0.188673	-1.56631	-2.41007
0.26529	-1.51176	-2.19594
1.11613	-0.431636	-2.94135
0.299337	-0.710491	-3.09678
-0.16239	-1.78234	-3.15451
-0.800329	-2.66305	-2.21003
-0.982036	-1.59351	-1.89965
-1.15489	-0.463829	-1.39925
-0.739764	-0.998748	-1.40517
-0.29752	-0.403353	-0.569936
0.450987	-1.36043	0.422069
0.668526	-1.00492	0.140272
-0.0707012	-1.29577	1.25269
-0.546958	-0.622409	1.01177
-0.422928	0.278619	0.0292907
0.184716	-0.0469789	0.610016
1.20617	-0.241157	1.23593
1.89363	-0.279441	1.73451
1.12682	-0.625495	0.889812
0.0212759	-0.932584	0.47628
0.84913	0.00684778	1.21039
0.865842	-1.12862	0.449798
-0.113396	-0.508097	-0.528072
0.89559	-1.49315	-1.65885
1.06055	-0.372413	-1.41911
0.348125	-0.639991	-0.903281
0.663865	-0.0692101	-0.561559
-0.0661442	-0.183782	0.478073
-0.707752	-0.535282	0.000709121
-0.731128	0.148663	1.03224
0.203844	-0.342872	1.12017
1.0731	0.0857974	0.566272
0.0470477	-1.1049	0.579788
0.736347	-0.99261	0.476338
1.42186	0.162314	-0.137528
1.2239	-0.951502	-0.408187
1.22526	-0.200757	0.293189
0.31505	0.350819	-0.265185
0.806097	0.691855	0.185741
0.244117	-0.222662	1.10386
-0.0821502	-0.881754	0.953839
-1.19078	-1.16557	0.00518247
-0.882817	0.0182741	-0.516266
-1.0283	-0.667379	-0.620212
-0.362203	-0.655721	-0.042816
-0.488716	-0.342219	0.147356
0.0360245	0.750769	0.663174
0.552237	0.114241	-0.105548
0.824457	-0.891764	0.0603047
1.03949	-0.611508	0.0922608
0.307866	-0.0199446	-0.0594849
0.37649	0.276392	-0.635498
-0.483023	-0.653693	-0.52502
0.0309634	0.0291346	-0.815046
0.553654	-0.389055	0.184967
-0.354579	-0.630109	0.0260037
0.397692	0.17836	0.594287
0.365167	0.910907	0.858205
-0.430405	0.814375	1.13765
-0.0582707	1.04855	0.948164
-0.667082	1.5541	1.02206
-1.54448	1.17533	-0.149175
-1.75599	1.87473	-0.0632695
-2.01752	1.53694	0.298989
-2.94948	1.96608	1.45131
-1.99795	1.75317	1.59115
-0.856357	2.33504	1.93468
-1.57958	3.16479	0.900965
-0.484588	2.33122	0.145909
-1.29422	1.45183	-0.041763
-0.121096	0.894161	0.89907
-0.0688516	0.522056	-0.132008
0.144903	-0.66517	0.00424674
1.2316	0.243833	-0.445965
2.04966	0.451799	0.122074
1.88489	0.435184	0.707093
2.33068	0.656084	0.954673
2.60135	1.50064	-0.0643729
3.42128	1.23103	-0.277018
3.62556	1.88255	-1.27794
3.20942	1.05417	-1.58839
3.19043	0.242585	-0.769204
2.47472	0.501209	-0.0435889
2.21954	-0.312895	-0.628442
2.41029	-1.09102	-0.816038
1.60811	-1.58142	-1.82058
0.663117	-2.16143	-2.98255
0.79673	-2.14704	-2.44425
0.252971	-1.77453	-1.24682
0.360725	-2.14494	-1.73099
0.173043	-1.42917	-2.40437
-0.392991	-1.72016	-2.53214
-1.47563	-1.36309	-2.38558
-0.867132	-0.217063	-2.00853
0.281985	-0.201429	-1.6686
0.137985	-0.885375	-0.778842
1.14955	-0.671125	-0.504402
0.745442	0.100935	0.511396
0.0717509	0.682733	0.404778
