x	y	z
-39.1792	-34.1629	25.2369
-39.2313	-34.2085	25.2686
-39.2833	-34.254	25.3003
-39.3354	-34.2996	25.332
-39.3875	-34.3451	25.3636
-39.4396	-34.3907	25.3953
-39.4916	-34.4362	25.427
-39.5437	-34.4818	25.4587
-39.5958	-34.5274	25.4904
-39.6478	-34.5729	25.5221
-39.6999	-34.6185	25.5538
-39.752	-34.664	25.5855
-39.8041	-34.7096	25.6172
-39.8561	-34.7551	25.6489
-39.9082	-34.8007	25.6806
-39.9603	-34.8462	25.7123
-40.0124	-34.8918	25.7439
-40.0644	-34.9373	25.7756
-40.1165	-34.9829	25.8073
-40.1686	-35.0284	25.839
-40.2207	-35.074	25.8707
-40.2727	-35.1195	25.9024
-40.3248	-35.1651	25.9341
-40.3769	-35.2106	25.9658
-40.429	-35.2562	25.9975
-40.481	-35.3017	26.0292
-40.5331	-35.3473	26.0609
-40.5852	-35.3928	26.0926
-40.6373	-35.4384	26.1242
-40.6893	-35.4839	26.1559
-40.7414	-35.5295	26.1876
-40.7935	-35.575	26.2193
-40.8456	-35.6206	26.251
-40.8976	-35.6661	26.2827
-40.9497	-35.7117	26.3144
-41.0018	-35.7572	26.3461
-41.0539	-35.8028	26.3778
-41.1059	-35.8483	26.4095
-41.158	-35.8939	26.4412
-41.2101	-35.9394	26.4729
-41.2622	-35.985	26.5045
-41.3142	-36.0305	26.5362
-41.3663	-36.0761	26.5679
-41.4184	-36.1216	26.5996
-41.4705	-36.1672	26.6313
-41.5225	-36.2127	26.663
-41.5746	-36.2583	26.6947
-41.6267	-36.3039	26.7264
-41.6788	-36.3494	26.7581
-41.7308	-36.395	26.7898
-41.7829	-36.4405	26.8215
-41.835	-36.4861	26.8532
-41.887	-36.5316	26.8848
-41.9391	-36.5772	26.9165
-41.9912	-36.6227	26.9482
-42.0433	-36.6683	26.9799
-42.0953	-36.7138	27.0116
-42.1474	-36.7594	27.0433
-42.1995	-36.8049	27.075
-42.2516	-36.8505	27.1067
-42.3036	-36.896	27.1384
-42.3557	-36.9416	27.1701
-42.4078	-36.9871	27.2018
-42.4599	-37.0327	27.2335
-42.5119	-37.0782	27.2651
